openInterestHist_sumOpenInterest,openInterestHist_sumOpenInterestValue,timestamp,topLongShortAccountRatio_longAccount,topLongShortAccountRatio_longShortRatio,topLongShortAccountRatio_shortAccount,topLongShortPositionRatio_longAccount,topLongShortPositionRatio_longShortRatio,topLongShortPositionRatio_shortAccount,globalLongShortAccountRatio_longAccount,globalLongShortAccountRatio_longShortRatio,globalLongShortAccountRatio_shortAccount,takerlongshortRatio_buySellRatio,takerlongshortRatio_sellVol,takerlongshortRatio_buyVol
50720.17100000,1650101208.46160743,1624402800000,0.5658,1.3031,0.4342,0.5323,1.1379,0.4677,0.5689,1.3196,0.4311,1.0386,14466.3090,15024.4460
51779.68800000,1682344037.20431792,1624406400000,0.5637,1.2920,0.4363,0.5299,1.1271,0.4701,0.5677,1.3132,0.4323,1.0892,42468.0970,46255.7280
52185.76400000,1754989500.16024000,1624410000000,0.5713,1.3326,0.4287,0.5289,1.1228,0.4711,0.5875,1.4242,0.4125,1.0642,27232.8150,28981.3850
53069.89300000,1808879342.42105000,1624413600000,0.5951,1.4697,0.4049,0.5242,1.1018,0.4758,0.6177,1.6157,0.3823,0.8860,4369.0280,3871.1260
53012.29300000,1799980371.31151356,1624420800000,0.5937,1.4612,0.4063,0.5235,1.0986,0.4765,0.6150,1.5974,0.3850,0.9715,18549.4940,18021.0430
53339.51200000,1801885524.25728000,1624424400000,0.5886,1.4307,0.4114,0.5216,1.0903,0.4784,0.6068,1.5432,0.3932,1.0723,20977.3120,22493.7430
54120.02600000,1856439880.53541027,1624428000000,0.5815,1.3895,0.4185,0.5237,1.0995,0.4763,0.6020,1.5126,0.3980,0.9260,17771.1420,16455.2580
53703.42100000,1818663666.99395000,1624431600000,0.5907,1.4432,0.4093,0.5220,1.0919,0.4780,0.6094,1.5602,0.3906,1.0622,12078.5730,12830.3630
53594.60200000,1819857769.56598000,1624435200000,0.5868,1.4201,0.4132,0.5244,1.1026,0.4756,0.6045,1.5284,0.3955,0.9338,23310.8030,21766.7600
54457.40700000,1836735949.44874971,1624438800000,0.5864,1.4178,0.4136,0.5176,1.0731,0.4824,0.6025,1.5157,0.3975,1.1332,15784.2590,17886.8100
54495.27600000,1847853066.24600000,1624442400000,0.5801,1.3815,0.4199,0.5205,1.0856,0.4795,0.5924,1.4534,0.4076,1.2283,14449.1990,17747.6780
56390.10600000,1927802350.91034000,1624446000000,0.5723,1.3381,0.4277,0.5225,1.0943,0.4775,0.5831,1.3987,0.4169,1.0504,20605.9060,21645.0180
56414.10500000,1911591074.61603795,1624449600000,0.5995,1.4969,0.4005,0.5145,1.0596,0.4855,0.6172,1.6123,0.3828,1.0616,14338.1520,15221.8310
55950.94400000,1911333987.28877913,1624453200000,0.5915,1.4480,0.4085,0.5178,1.0737,0.4822,0.6051,1.5323,0.3949,1.0282,42424.0730,43618.7290
55651.60200000,1890333999.55815868,1624456800000,0.5980,1.4876,0.4020,0.5146,1.0600,0.4854,0.6181,1.6185,0.3819,1.0086,17306.6690,17455.9930
55643.90100000,1894514574.61512000,1624460400000,0.6001,1.5006,0.3999,0.5129,1.0530,0.4871,0.6244,1.6624,0.3756,0.9233,31053.0200,28672.1610
54768.59400000,1833905610.64594512,1624464000000,0.5855,1.4125,0.4145,0.5173,1.0717,0.4827,0.5969,1.4808,0.4031,1.0079,25545.9530,25747.8060
53548.23000000,1802992131.30768959,1624467600000,0.5855,1.4125,0.4145,0.5189,1.0786,0.4811,0.5972,1.4826,0.4028,0.9646,9368.7370,9037.2490
53256.42700000,1788304170.46194785,1624471200000,0.5828,1.3969,0.4172,0.5183,1.0758,0.4817,0.5965,1.4783,0.4035,0.9098,22925.8140,20858.0400
53435.89000000,1778650469.41410000,1624474800000,0.5765,1.3613,0.4235,0.5235,1.0988,0.4765,0.5821,1.3929,0.4179,0.9061,15628.6670,14161.8350
53345.98700000,1753588751.20413000,1624478400000,0.5781,1.3702,0.4219,0.5233,1.0979,0.4767,0.5787,1.3736,0.4213,1.0498,16961.6130,17806.1000
53027.96400000,1752093776.84616000,1624482000000,0.5740,1.3474,0.4260,0.5244,1.1026,0.4756,0.5747,1.3513,0.4253,1.1239,16581.0850,18635.9000
51916.29900000,1729547690.75531661,1624485600000,0.5966,1.4789,0.4034,0.5209,1.0873,0.4791,0.6053,1.5336,0.3947,1.0271,11329.6490,11637.0730
51987.90400000,1738867498.55616000,1624489200000,0.6024,1.5151,0.3976,0.5195,1.0810,0.4805,0.6150,1.5974,0.3850,0.9817,10589.9200,10395.7420
52375.98300000,1762222421.14446000,1624492800000,0.6032,1.5202,0.3968,0.5199,1.0828,0.4801,0.6167,1.6089,0.3833,0.9262,10823.6310,10025.0370
52097.69200000,1728421774.39920904,1624496400000,0.6082,1.5523,0.3918,0.5186,1.0771,0.4814,0.6202,1.6330,0.3798,0.8249,15998.4790,13197.3740
52477.96300000,1712518306.60936473,1624500000000,0.6068,1.5432,0.3932,0.5204,1.0850,0.4796,0.6119,1.5767,0.3881,1.0042,19145.2950,19225.3720
53695.15500000,1744824310.24282284,1624503600000,0.6020,1.5126,0.3980,0.5159,1.0657,0.4841,0.6073,1.5465,0.3927,1.1219,12981.4290,14563.6100
53557.83900000,1745885973.22624678,1624507200000,0.6061,1.5387,0.3939,0.5153,1.0632,0.4847,0.6141,1.5913,0.3859,0.9789,13952.0790,13657.2310
53391.07600000,1736863234.76192292,1624510800000,0.6112,1.5720,0.3888,0.5160,1.0662,0.4840,0.6240,1.6596,0.3760,1.1956,11805.1570,14114.1330
53967.76300000,1779036747.45249606,1624514400000,0.5992,1.4950,0.4008,0.5147,1.0607,0.4853,0.6151,1.5981,0.3849,0.9939,13808.6310,13724.8810
54572.32000000,1799988990.09835609,1624518000000,0.5939,1.4624,0.4061,0.5164,1.0679,0.4836,0.6103,1.5661,0.3897,0.9568,15908.6570,15220.8760
54375.92500000,1785822997.07072162,1624521600000,0.5900,1.4390,0.4100,0.5162,1.0671,0.4838,0.6043,1.5272,0.3957,1.1158,16524.0720,18437.8550
55937.94500000,1865915318.81160000,1624525200000,0.5799,1.3804,0.4201,0.5210,1.0877,0.4790,0.5921,1.4516,0.4079,1.0454,15670.4860,16382.2630
54607.56400000,1815608124.06556000,1624528800000,0.5888,1.4319,0.4112,0.5161,1.0665,0.4839,0.6026,1.5164,0.3974,0.9116,10645.0940,9704.2680
54941.72200000,1825348695.60967853,1624532400000,0.5828,1.3969,0.4172,0.5172,1.0712,0.4828,0.5935,1.4600,0.4065,1.3061,16827.8490,21979.1270
56204.32200000,1901054318.04974384,1624536000000,0.5823,1.3941,0.4177,0.5169,1.0698,0.4831,0.5958,1.4740,0.4042,1.0813,22936.1750,24800.6190
56025.93100000,1907691914.69896000,1624539600000,0.5904,1.4414,0.4096,0.5139,1.0574,0.4861,0.5986,1.4913,0.4014,0.9810,13960.7780,13695.2230
55727.53500000,1896478461.91912948,1624543200000,0.5836,1.4015,0.4164,0.5146,1.0600,0.4854,0.5861,1.4160,0.4139,0.9813,12473.0850,12240.0970
56090.59600000,1908609854.55292000,1624546800000,0.5818,1.3912,0.4182,0.5149,1.0614,0.4851,0.5836,1.4015,0.4164,0.9628,37822.4280,36415.9060
