openInterestHist_sumOpenInterest,openInterestHist_sumOpenInterestValue,timestamp,topLongShortAccountRatio_longAccount,topLongShortAccountRatio_longShortRatio,topLongShortAccountRatio_shortAccount,topLongShortPositionRatio_longAccount,topLongShortPositionRatio_longShortRatio,topLongShortPositionRatio_shortAccount,globalLongShortAccountRatio_longAccount,globalLongShortAccountRatio_longShortRatio,globalLongShortAccountRatio_shortAccount,takerlongshortRatio_buySellRatio,takerlongshortRatio_sellVol,takerlongshortRatio_buyVol
367385.32200000,860429535.89673255,1625673600000,0.6419,1.7925,0.3581,0.4840,0.9381,0.5160,0.6113,1.5727,0.3887,1.0060,66400.0040,66799.7110
367580.16800000,864379468.25872000,1625677200000,0.6469,1.8321,0.3531,0.4833,0.9354,0.5167,0.6230,1.6525,0.3770,1.1437,30926.5880,35371.0080
366656.39500000,864084459.84070000,1625680800000,0.6441,1.8098,0.3559,0.4833,0.9355,0.5167,0.6217,1.6434,0.3783,1.0435,30792.9640,32132.3600
367091.79500000,867845383.47745000,1625684400000,0.6450,1.8169,0.3550,0.4833,0.9355,0.5167,0.6254,1.6695,0.3746,0.8459,33447.8130,28294.9990
363565.99800000,859486774.65820401,1625688000000,0.6424,1.7964,0.3576,0.4842,0.9386,0.5158,0.6221,1.6462,0.3779,1.0773,19977.5330,21521.3780
362686.73100000,856593521.27580000,1625691600000,0.6395,1.7739,0.3605,0.4841,0.9383,0.5159,0.6189,1.6240,0.3811,0.7585,54093.9380,41030.4050
359310.15900000,842539205.63592000,1625695200000,0.6385,1.7663,0.3615,0.4835,0.9361,0.5165,0.6163,1.6062,0.3837,0.8451,69565.7540,58788.0170
356463.93200000,828335242.69231504,1625698800000,0.6487,1.8466,0.3513,0.4838,0.9372,0.5162,0.6229,1.6518,0.3771,0.9256,67993.3190,62937.3180
360254.18500000,834118129.78160000,1625702400000,0.6521,1.8744,0.3479,0.4833,0.9353,0.5167,0.6270,1.6810,0.3730,0.9282,137103.0590,127259.6240
360798.01400000,818460222.07942071,1625706000000,0.6537,1.8877,0.3463,0.4850,0.9416,0.5150,0.6278,1.6867,0.3722,1.0783,62659.5330,67563.6220
360426.51900000,819964383.68743650,1625709600000,0.6530,1.8818,0.3470,0.4851,0.9421,0.5149,0.6315,1.7137,0.3685,1.0825,36087.1540,39062.6350
362939.88200000,827862241.44318000,1625713200000,0.6537,1.8877,0.3463,0.4853,0.9431,0.5147,0.6336,1.7293,0.3664,0.8519,115200.1030,98139.3500
362158.23600000,816219451.49000554,1625716800000,0.6584,1.9274,0.3416,0.4871,0.9497,0.5129,0.6306,1.7071,0.3694,0.9476,101142.5810,95839.4760
351171.38100000,786965239.68137982,1625720400000,0.6627,1.9647,0.3373,0.4867,0.9481,0.5133,0.6325,1.7211,0.3675,0.8505,78314.0840,66609.8330
352634.27600000,780087528.09942704,1625724000000,0.6646,1.9815,0.3354,0.4864,0.9470,0.5136,0.6338,1.7307,0.3662,1.0769,106241.4140,114416.2200
351777.07400000,778341953.93240000,1625727600000,0.6686,2.0175,0.3314,0.4852,0.9426,0.5148,0.6397,1.7755,0.3603,0.8208,177326.1280,145542.8900
357701.38100000,780560851.21550321,1625731200000,0.6714,2.0432,0.3286,0.4873,0.9504,0.5127,0.6349,1.7390,0.3651,1.1138,118011.1450,131437.9410
357377.33000000,781055711.24779023,1625734800000,0.6677,2.0093,0.3323,0.4850,0.9418,0.5150,0.6449,1.8161,0.3551,1.0004,83607.3430,83637.3870
357881.62500000,777011743.55765162,1625738400000,0.6795,2.1201,0.3205,0.4827,0.9332,0.5173,0.6630,1.9674,0.3370,0.9218,74314.1070,68502.8400
360035.81500000,778563275.27345808,1625742000000,0.6805,2.1299,0.3195,0.4829,0.9337,0.5171,0.6678,2.0102,0.3322,0.9622,178215.5010,171470.1270
364992.74700000,791257966.46088591,1625745600000,0.6606,1.9464,0.3394,0.4851,0.9423,0.5149,0.6423,1.7956,0.3577,0.9680,115682.7060,111979.4490
370230.59400000,799646250.75684000,1625749200000,0.6468,1.8313,0.3532,0.4847,0.9405,0.5153,0.6390,1.7701,0.3610,0.9207,92425.3250,85099.0870
369449.52000000,789344547.52180859,1625752800000,0.6438,1.8074,0.3562,0.4833,0.9355,0.5167,0.6345,1.7360,0.3655,1.1969,64041.7740,76654.6500
371495.32500000,801438009.48225000,1625756400000,0.6413,1.7878,0.3587,0.4824,0.9320,0.5176,0.6356,1.7442,0.3644,1.0565,80051.7660,84573.2770
